ntt,panasonic,kddi,hitachi,fujitsu,cyberagent,softbank,sony,rakuten
データセクション,（企業データ）財務ハイライト,,（Value Creation）人材戦略,,,（Section2 どのように価値を創造するのか）（ソフトバンクが成長するために重要な6つのポイント）ソフトバンクの事業成長を支える人材戦略は？,（事業ごとの価値創造）エンタテインメント・テクノロジー＆サービス,
,（企業データ）ESGハイライト,,（Value Creation）財務戦略,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）社外取締役と機関投資家との対話,（事業ごとの価値創造）イメージング＆センシング・ソリューション,
,（企業データ）セグメント概況,,（Value Creation）CFOメッセージ,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）コーポレート・ガバナンス体制の概要,（事業ごとの価値創造）金融,
,（企業データ）財務報告,,（Business Strategies）デジタルシステム＆サービス,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）コーポレート・ガバナンス体制の強化,コーポレートガバナンス,
,（企業データ）10年間の主要財務データ,,（Business Strategies）グリーンエナジー＆モビリティ,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）特別委員会設置〜親会社との利益相反取引について〜,グループ情報,
,（企業データ）会社情報,,（Business Strategies）コネクティブインダストリーズ,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）取締役および監査役スキルマトリクス,,
,,,（Business Strategies）日立Astemo,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）社外取締役・社外監査役の活動状況,,
,,,（Sustainability）（リスクと機会への対応）気候変動によるリスクと機会への対応,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）役員報酬,,
,,,（Sustainability）（リスクと機会への対応）情報セキュリティへの対応,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）指名委員会・報酬委員会,,
,,,（Sustainability）（リスクと機会への対応）労働安全衛生、従業員の健康,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）取締役会,,
,,,（Sustainability）（リスクと機会への対応）バリューチェーンにおける責任,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）監査の状況,,
,,,（Sustainability）（リスクと機会への対応）品質保証,,,（Section3 どのように持続していくのか）（コーポレートガバナンス）取締役および監査役,,
,,,（Sustainability）（リスクと機会への対応）企業倫理とコンプライアンス,,,（Section3 どのように持続していくのか）（リスクマネジメント）重大リスクへの対応,,
,,,（Corporate Governance）（コーポレートガバナンス）取締役会議長メッセージ,,,（Section3 どのように持続していくのか）（リスクマネジメント）情報セキュリティ,,
,,,（Corporate Governance）（コーポレートガバナンス）社会取締役会対談,,,（Section3 どのように接続していくのか）（人材戦略）特別企画　女性活躍推進が切り拓くソフトバンクの未来,,
,,,（Data）10ヵ年データ,,,（Section3 どのように接続していくのか）（人材戦略）人材戦略とダイバーシティ,,
,,,（Data）5ヵ年データ（非財務情報）,,,（Section3 どのように接続していくのか）（人材戦略）誰もがチャレンジできる制度と環境,,
,,,（Data）セグメントハイライト,,,（Section3 どのように接続していくのか）（人材戦略）働き方改革と健康経営,,
,,,（Data）会社情報・株式情報,,,（Section3 どのように接続していくのか）（人材戦略）ソフトバンクの人事施策,,
,,,,,,（Section3 どのように接続していくのか）（人材戦略）実績一覧,,
,,,,,,（Section3 どのように接続していくのか）環境への取り組み,,
,,,,,,（Data Section）At a glance,,
,,,,,,（Data Section）パフォーマンスハイライト（財務）,,
,,,,,,（Data Section）パフォーマンスハイライト（非財務）,,
,,,,,,（Data Section）市場データ,,
,,,,,,（Data Section）2022年3月期の振り返りと分析,,
,,,,,,（Data Section）連結財務諸表,,
,,,,,,（Data Section）マテリアリティ（重要課題）,,
,,,,,,（Data Section）ESGデータブック,,
,,,,,,（Data Section）グループ構造,,
,,,,,,（Data Section）外部評価,,
,,,,,,（Data Section）会社情報/投資家情報,,
